area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
TEpd,24c+32,"38,28",-0.2982549168437232,0.016372,0.10012329410953658,0.111161,0.39837821095325976,0.094789,0.30358921095325975,True
46d,24c+32,"38,28",1.4089181127007986,0.337073,0.5046975491983565,0.036685,-0.9042205635024421,-0.300388,-0.6038325635024421,True
9/46v,24c+32,"38,28",1.1392005452316851,0.2712,0.7353627253294025,0.097202,-0.4038378199022826,-0.17399799999999999,-0.22983981990228264,True
PBr,24c+32,"38,28",0.5333474182198001,0.032065,0.8693030240125951,0.00353,0.33595560579279493,-0.028535000000000005,0.3644906057927949,True
9/46d,24c+32,"38,28",0.9055542092537012,0.245636,0.7208486346047439,0.079916,-0.18470557464895732,-0.16571999999999998,-0.018985574648957337,True
F5,24c+32,"38,28",-0.2756641259695229,0.081314,0.35189226916645694,0.149549,0.6275563951359798,0.06823499999999999,0.5593213951359799,True
7m,24c+32,"38,28",0.1067006296663247,-0.082866,0.5309801173306161,0.047937,0.4242794876642914,0.130803,0.2934764876642914,True
25,24c+32,"38,28",1.059929691816044,-0.168438,1.2214966398249119,0.142877,0.16156694800886795,0.311315,-0.14974805199113206,True
LIP,24c+32,"38,28",-0.0392342622080916,0.063567,-0.16448241568793887,0.037658,-0.12524815347984727,-0.025909,-0.09933915347984727,True
32,24c+32,"38,28",2.0,0.812202,1.5988108671966927,0.704386,-0.40118913280330726,-0.10781600000000002,-0.29337313280330723,False
STPi,24c+32,"38,28",0.5147876589908612,0.028622,0.8094022155349384,0.059489,0.2946145565440772,0.030867,0.2637475565440772,True
9,24c+32,"38,28",1.2253615590735376,0.358544,0.6499983441062558,0.145686,-0.5753632149672818,-0.21285799999999996,-0.36250521496728183,True
45A,24c+32,"38,28",0.0762447171665722,0.22115,0.14790221711575752,-0.163953,0.07165749994918531,-0.385103,0.4567604999491853,True
8B,24c+32,"38,28",1.3995814710352532,0.223581,0.4395154190797289,0.060359,-0.9600660519555243,-0.163222,-0.7968440519555243,True
7B,24c+32,"38,28",1.096048129161754,0.111312,0.5800021060443188,-0.018539,-0.5160460231174353,-0.129851,-0.3861950231174353,True
F2,24c+32,"38,28",0.3953913173005308,-0.024718,0.15141500549639125,-0.00053,-0.24397631180413953,0.024188,-0.2681643118041395,True
F7,24c+32,"38,28",1.1327711959349551,0.25606,0.4793844033880556,-0.103096,-0.6533867925468995,-0.35915600000000003,-0.29423079254689943,True
ProM,24c+32,"38,28",0.2045511831779443,0.004375,0.07278253496572373,-0.007453,-0.13176864821222056,-0.011828000000000002,-0.11994064821222056,True
STPr,24c+32,"38,28",-0.3553238925141873,-0.05701,-0.03437903776059473,0.079456,0.3209448547535926,0.136466,0.18447885475359257,True
24c,24c+32,"38,28",2.0,1.081141,1.0986119178032716,0.998232,-0.9013880821967284,-0.0829089999999999,-0.8184790821967285,False
OPRO,24c+32,"38,28",-0.3406693965696701,0.176695,-0.5446803194792205,-0.01692,-0.20401092290955036,-0.19361499999999998,-0.010395922909550381,True
