area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_vector_normalized,target_change_vector_normalized,model_valid_value_norm,target_valid_value_norm,model_5ht_seed_fc_z_vector_normalized,target_5ht_seed_fc_z_vector_normalized
F4,24c+32,"38,28",1.3196973957922964,-0.015774,0.9893646123083243,0.135711,-0.3303327834839721,0.151485,-0.4818177834839721,True,-0.0562363665753,0.227716970784,5.87400651217,0.665233686704,0.168430969605,0.204005002622
5,24c+32,"38,28",1.279331721207277,-0.026274,1.0572507256230494,-0.164674,-0.22208099558422756,-0.1384,-0.08368099558422756,True,-0.0378074139217,-0.208047191184,5.87400651217,0.665233686704,0.179988007067,-0.247543086424
2,24c+32,"38,28",1.0044135633809437,0.088933,0.6921808360407817,-0.059867,-0.31223272734016194,-0.1488,-0.16343272734016195,True,-0.0531549848802,-0.223680795146,5.87400651217,0.665233686704,0.117837941549,-0.0899939392676
8l,24c+32,"38,28",1.6475090717567826,0.16706,0.9161975397354284,0.064032,-0.7313115320213542,-0.10302799999999998,-0.6282835320213542,True,-0.124499612063,-0.15487489894,5.87400651217,0.665233686704,0.155974893429,0.0962548970081
F1,24c+32,"38,28",0.903177831181678,0.023885,0.7989854315476566,0.014027,-0.1041923996340215,-0.009858,-0.09433439963402149,True,-0.0177378760848,-0.0148188526784,5.87400651217,0.665233686704,0.13602052192,0.0210858233435
STPc,24c+32,"38,28",1.6491299035644675,-0.004758,1.0947656754399109,0.021164,-0.5543642281245567,0.025922,-0.5802862281245567,True,-0.0943758279764,0.0389667578749,5.87400651217,0.665233686704,0.186374610442,0.0318143840623
7A,24c+32,"38,28",1.5086522605370765,0.03126,1.0342225433578676,-0.022945,-0.4744297171792089,-0.054205,-0.4202247171792089,True,-0.0807676525718,-0.0814826444953,5.87400651217,0.665233686704,0.17606765352,-0.0344916387408
10,24c+32,"38,28",1.6460644686689976,0.313056,1.0157286383311381,-0.259452,-0.6303358303378594,-0.572508,-0.05782783033785943,True,-0.107309351638,-0.860611859325,5.87400651217,0.665233686704,0.172919222379,-0.390016328375
F3,24c+32,"38,28",1.4494014797453727,0.09415,1.1366614358892106,0.073127,-0.31274004385616205,-0.021023,-0.29171704385616204,True,-0.0532413512325,-0.0316024284701,5.87400651217,0.665233686704,0.19350700983,0.109926784319
TEpd,24c+32,"38,28",1.238158472471126,0.016372,0.6825847666765843,0.111161,-0.5555737057945418,0.094789,-0.6503627057945418,True,-0.0945817313351,0.142489777494,5.87400651217,0.665233686704,0.116204291783,0.167100677885
46d,24c+32,"38,28",1.660358170457962,0.337073,1.0165812173496889,0.036685,-0.6437769531082731,-0.300388,-0.3433889531082731,True,-0.109597589273,-0.451552598739,5.87400651217,0.665233686704,0.173064366756,0.0551460347442
9/46v,24c+32,"38,28",1.5485835591806878,0.2712,1.0890694226182536,0.097202,-0.45951413656243423,-0.17399799999999999,-0.28551613656243424,True,-0.0782284009408,-0.261559213668,5.87400651217,0.665233686704,0.185404871507,0.146117074259
PBr,24c+32,"38,28",0.4329400568580618,0.032065,0.7665942259898303,0.00353,0.3336541691317685,-0.028535000000000005,0.36218916913176846,True,0.0568018044312,-0.0428947008703,5.87400651217,0.665233686704,0.130506192733,0.00530640596012
9/46d,24c+32,"38,28",1.3812296759846003,0.245636,1.027634805351228,0.079916,-0.35359487063337225,-0.16571999999999998,-0.18787487063337227,True,-0.0601965404534,-0.249115466207,5.87400651217,0.665233686704,0.174946146761,0.120132220597
F5,24c+32,"38,28",1.1823699715278022,0.081314,0.8967950177770545,0.149549,-0.2855749537507477,0.06823499999999999,-0.3538099537507477,True,-0.0486167240638,0.102572977532,5.87400651217,0.665233686704,0.152671777929,0.224806715278
7m,24c+32,"38,28",0.9139394407912684,-0.082866,0.8838845520222316,0.047937,-0.030054888769036836,0.130803,-0.16085788876903684,True,-0.00511659098552,0.196627144136,5.87400651217,0.665233686704,0.150473880169,0.072060391646
25,24c+32,"38,28",0.2753762044522576,-0.168438,1.0568579235105313,0.142877,0.7814817190582737,0.311315,0.4701667190582737,True,0.133040662696,0.467978405517,5.87400651217,0.665233686704,0.179921135825,0.214777157044
LIP,24c+32,"38,28",1.3444521624848569,0.063567,0.9425743300210087,0.037658,-0.40187783246384823,-0.025909,-0.3759688324638482,True,-0.0684163069332,-0.0389472158699,5.87400651217,0.665233686704,0.160465319211,0.0566086786533
32,24c+32,"38,28",1.3846206148740894,0.812202,1.1145800859539874,0.704386,-0.270040528920102,-0.10781600000000002,-0.16222452892010197,False,-0.0459721194317,-0.162072369687,5.87400651217,0.665233686704,0.18974784649,1.05885497695
STPi,24c+32,"38,28",1.5718918925535366,0.028622,1.078330885841059,0.059489,-0.4935610067124776,0.030867,-0.5244280067124776,True,-0.0840245930423,0.0464002359125,5.87400651217,0.665233686704,0.183576726312,0.0894257178928
9,24c+32,"38,28",1.77778418340286,0.358544,1.0845884380827346,0.145686,-0.6931957453201254,-0.21285799999999996,-0.4803377453201254,True,-0.118010721283,-0.319974776164,5.87400651217,0.665233686704,0.184642021734,0.218999733345
45A,24c+32,"38,28",1.753083184363117,0.22115,0.931070281523176,-0.163953,-0.822012902839941,-0.385103,-0.436909902839941,True,-0.13994075443,-0.578898825626,5.87400651217,0.665233686704,0.158506852111,-0.246459256765
