area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
8l,24c+32,"38,28",1.6475090717567826,0.16706,0.9161975397354284,0.064032,-0.798202898725,-1.609007996,0.810805097277,True,-0.7313115320213542,-0.10302799999999998,-0.6282835320213542
F1,24c+32,"38,28",0.903177831181678,0.023885,0.7989854315476566,0.014027,-0.130405881659,-0.702787481286,0.572381599627,True,-0.1041923996340215,-0.009858,-0.09433439963402149
STPc,24c+32,"38,28",1.6491299035644675,-0.004758,1.0947656754399109,0.021164,-0.50637706366,1.22481572482,-1.73119278848,True,-0.5543642281245567,0.025922,-0.5802862281245567
7A,24c+32,"38,28",1.5086522605370765,0.03126,1.0342225433578676,-0.022945,-0.458730783066,-2.3623883199,1.90365753683,True,-0.4744297171792089,-0.054205,-0.4202247171792089
10,24c+32,"38,28",1.6460644686689976,0.313056,1.0157286383311381,-0.259452,-0.620575030132,-2.20660468988,1.58602965975,True,-0.6303358303378594,-0.572508,-0.05782783033785943
F3,24c+32,"38,28",1.4494014797453727,0.09415,1.1366614358892106,0.073127,-0.275139134646,-0.287486154225,0.0123470195787,True,-0.31274004385616205,-0.021023,-0.29171704385616204
TEpd,24c+32,"38,28",1.238158472471126,0.016372,0.6825847666765843,0.111161,-0.813926317898,0.85271812956,-1.66664444746,True,-0.5555737057945418,0.094789,-0.6503627057945418
46d,24c+32,"38,28",1.660358170457962,0.337073,1.0165812173496889,0.036685,-0.633276458507,-8.18830584708,7.55502938857,True,-0.6437769531082731,-0.300388,-0.3433889531082731
9/46v,24c+32,"38,28",1.5485835591806878,0.2712,1.0890694226182536,0.097202,-0.421932823582,-1.79006604802,1.36813322444,True,-0.45951413656243423,-0.17399799999999999,-0.28551613656243424
PBr,24c+32,"38,28",0.4329400568580618,0.032065,0.7665942259898303,0.00353,0.435242215268,-8.0835694051,8.51881162037,True,0.3336541691317685,-0.028535000000000005,0.36218916913176846
9/46d,24c+32,"38,28",1.3812296759846003,0.245636,1.027634805351228,0.079916,-0.344086117745,-2.07367736123,1.72959124348,True,-0.35359487063337225,-0.16571999999999998,-0.18787487063337227
F5,24c+32,"38,28",1.1823699715278022,0.081314,0.8967950177770545,0.149549,-0.318439496306,0.456271857385,-0.774711353691,True,-0.2855749537507477,0.06823499999999999,-0.3538099537507477
7m,24c+32,"38,28",0.9139394407912684,-0.082866,0.8838845520222316,0.047937,-0.034003183674,2.72864384505,-2.76264702872,True,-0.030054888769036836,0.130803,-0.16085788876903684
25,24c+32,"38,28",0.2753762044522576,-0.168438,1.0568579235105313,0.142877,0.739438766246,2.1789021326,-1.43946336636,True,0.7814817190582737,0.311315,0.4701667190582737
LIP,24c+32,"38,28",1.3444521624848569,0.063567,0.9425743300210087,0.037658,-0.426361953285,-0.688007860216,0.261645906931,True,-0.40187783246384823,-0.025909,-0.3759688324638482
32,24c+32,"38,28",1.3846206148740894,0.812202,1.1145800859539874,0.704386,-0.242280058942,-0.153063803085,-0.0892162558564,False,-0.270040528920102,-0.10781600000000002,-0.16222452892010197
STPi,24c+32,"38,28",1.5718918925535366,0.028622,1.078330885841059,0.059489,-0.457708309382,0.518869034611,-0.976577343993,True,-0.4935610067124776,0.030867,-0.5244280067124776
9,24c+32,"38,28",1.77778418340286,0.358544,1.0845884380827346,0.145686,-0.639132523435,-1.46107381629,0.821941292855,True,-0.6931957453201254,-0.21285799999999996,-0.4803377453201254
45A,24c+32,"38,28",1.753083184363117,0.22115,0.931070281523176,-0.163953,-0.882868800726,-2.34886217392,1.46599337319,True,-0.822012902839941,-0.385103,-0.436909902839941
8B,24c+32,"38,28",1.6608359661035386,0.223581,1.0784434190600647,0.060359,-0.540030693081,-2.70418661674,2.16415592366,True,-0.5823925470434739,-0.163222,-0.4191705470434739
7B,24c+32,"38,28",1.1701882983722445,0.111312,0.9644745642790459,-0.018539,-0.213290989428,-7.00420734667,6.79091635725,True,-0.2057137340931986,-0.129851,-0.0758627340931986
F2,24c+32,"38,28",1.134100710724252,-0.024718,0.9650684078085177,-0.00053,-0.175150591966,45.6377358491,-45.812886441,True,-0.16903230291573434,0.024188,-0.19322030291573433
F7,24c+32,"38,28",1.9702905923457812,0.25606,1.160804854360747,-0.103096,-0.697348684358,-3.48370450842,2.78635582406,True,-0.8094857379850342,-0.35915600000000003,-0.4503297379850342
ProM,24c+32,"38,28",1.0373626561867706,0.004375,0.8386226437699008,-0.007453,-0.236983837598,-1.5870119415,1.3500281039,True,-0.19874001241686978,-0.011828000000000002,-0.18691201241686978
STPr,24c+32,"38,28",1.5057454147001226,-0.05701,0.9475224882271215,0.079456,-0.589139501604,1.71750402739,-2.30664352899,True,-0.5582229264730011,0.136466,-0.6946889264730011
24c,24c+32,"38,28",2.0,1.081141,0.999913129442674,0.998232,-1.00017375621,-0.0830558427299,-0.917117913479,False,-1.000086870557326,-0.0829089999999999,-0.9171778705573261
OPRO,24c+32,"38,28",1.3189237903805708,0.176695,1.0162459105771144,-0.01692,-0.297839210621,-11.4429669031,11.1451276925,True,-0.3026778798034564,-0.19361499999999998,-0.10906287980345641
