0,1,2,3,4
-5.2441987952233796e-11,0.0,-6.469292990271067e-13,-6.44232902209093e-11,-3.65585745673077e-13
-3.975615920110636e-11,0.0,-6.305551200441914e-13,-4.019836857778022e-11,-3.8135127110458204e-13
-2.396863831299007e-12,0.0,-6.037386712296175e-13,-5.7160324041470253e-11,-1.4994407273882948e-11
-2.354794741574565e-12,0.0,-5.705441014990242e-13,-5.838068569298137e-12,-4.1144701515561945e-13
-2.3129681588213373e-12,0.0,-1.2509507862710964e-11,-4.2899452921105674e-12,-4.26436532315284e-13
-2.2720504466515422e-12,0.0,-9.305433516388961e-11,-4.474870705517872e-12,-4.4857566448131447e-13
-2.2326988135377628e-12,0.0,-1.440601731576434e-10,-4.807855424078843e-12,-4.772797733942474e-13
-2.19416674544251e-12,0.0,-1.1807915928079753e-10,-5.3310644253634286e-12,-5.147935853957722e-13
-4.040058360060438e-11,0.0,-5.935689928694253e-13,-5.858503780442208e-12,-6.770429324796993e-13
-6.917313734959762e-11,0.0,-1.5474512285227817e-11,-1.949566363985289e-11,-7.955305495995087e-13
-5.563071013730283e-11,0.0,-7.702716212629323e-11,-6.6393840286471215e-12,-8.792024418449276e-13
-2.054147160259114e-12,0.0,-4.918955945139181e-11,-6.977216695524433e-12,-9.425019239877454e-13
-7.438033147548743e-11,0.0,-1.6723433311518548e-10,-7.467049065869553e-12,-9.974523303392296e-13
-1.282346553772674e-10,0.0,-1.3555883294108756e-10,-7.992184012395828e-12,-1.0503211930081042e-12
-7.146212986473375e-11,0.0,-1.4956682042836823e-10,-1.6844973680735844e-11,-6.11338681436528e-11
-6.310045288538088e-11,0.0,-5.774322400860671e-11,-8.328918358132468e-12,-1.6272793987246875e-11
-6.947190891544245e-11,0.0,-3.138408304238278e-11,-8.271030610637189e-12,-1.6420946042807265e-11
-1.8907406620557155e-11,0.0,-3.0761540096313953e-11,-8.151653144573035e-12,-3.774867600874752e-11
-2.2725842582835853e-11,0.0,-4.8175623625880984e-11,-2.967211215834472e-11,-6.122899330006647e-11
-1.8827186217004984e-12,0.0,-7.368954134076413e-12,-7.692395054306289e-12,-1.0402584495154143e-10
-1.8800141600144892e-12,0.0,-1.0076549872936597e-11,-7.31960713412234e-12,-1.48560097934442e-10
-1.8878558445432777e-12,0.0,-3.349351677917575e-11,-1.811150201719458e-11,-8.705383803255874e-11
-1.9045507338087405e-12,0.0,-3.8115429974547425e-13,-6.4470924026578375e-12,-2.8296560422467738e-11
-1.9239352665810616e-12,0.0,-3.7051872153628053e-13,-6.116199919803293e-12,-2.670486779010459e-12
-2.6609711495527994e-12,0.0,-7.620775191273687e-13,-5.912783811797838e-12,-1.1184565532470144e-12
-4.207957565377594e-12,0.0,-1.6653177753186212e-12,-4.403626183642484e-11,-3.5503781879879163e-11
-6.013624415308501e-12,0.0,-2.6971221981900777e-12,-6.522795429742684e-11,-1.9026557198625123e-11
-3.1584817231465444e-11,0.0,-3.43595151841703e-12,-1.276471611046665e-10,-3.308395543200391e-11
-3.928917115089573e-11,0.0,-5.196991420101375e-12,-9.243244615518354e-11,-2.0566368361752536e-11
-1.6036256363442676e-11,0.0,-8.35387316582974e-12,-8.216680691368731e-11,-3.83802200021403e-11
-4.432993007860955e-11,0.0,-1.11404627451611e-11,-1.5427141938662724e-10,-1.244349474703945e-12
