area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
8l,24c+32,"38,28",0.6020886809268192,0.16706,0.49931610091969875,0.064032,-0.205826689381,-1.609007996,1.40318130662,True,-0.10277258000712047,-0.10302799999999998,0.00025541999287950756
F1,24c+32,"38,28",0.151986195591431,0.023885,0.24323806857248226,0.014027,0.375154569828,-0.702787481286,1.07794205111,True,0.09125187298105125,-0.009858,0.10110987298105126
STPc,24c+32,"38,28",0.7561325303010495,-0.004758,0.6551565585052177,0.021164,-0.15412494996,1.22481572482,-1.37894067478,True,-0.10097597179583184,0.025922,-0.12689797179583184
7A,24c+32,"38,28",1.099411195656138,0.03126,1.1291980499231302,-0.022945,0.0263787687811,-2.3623883199,2.38876708868,True,0.029786854266992124,-0.054205,0.08399185426699213
10,24c+32,"38,28",0.9831870146420152,0.313056,0.896104874735295,-0.259452,-0.0971785137676,-2.20660468988,2.10942617612,True,-0.0870821399067202,-0.572508,0.4854258600932798
F3,24c+32,"38,28",0.1877496325201887,0.09415,0.26958540701780503,0.073127,0.303561588896,-0.287486154225,0.591047743121,True,0.08183577449761634,-0.021023,0.10285877449761634
TEpd,24c+32,"38,28",-0.1767087583609632,0.016372,-0.29381876878839774,0.111161,-0.398579065968,0.85271812956,-1.25129719553,True,-0.11711001042743455,0.094789,-0.21189901042743453
46d,24c+32,"38,28",1.6041022197869397,0.337073,1.444586413226064,0.036685,-0.110423166867,-8.18830584708,8.07788268021,True,-0.15951580656087572,-0.300388,0.14087219343912427
9/46v,24c+32,"38,28",1.1126993055581724,0.2712,0.9360289268063033,0.097202,-0.188744571554,-1.79006604802,1.60132147647,True,-0.17667037875186908,-0.17399799999999999,-0.002672378751869098
PBr,24c+32,"38,28",1.270874295249874,0.032065,1.2716603991151938,0.00353,0.000618171223911,-8.0835694051,8.08418757632,True,0.0007861038653198538,-0.028535000000000005,0.02932110386531986
9/46d,24c+32,"38,28",1.1809369538358243,0.245636,1.157356172212008,0.079916,-0.020374697254,-2.07367736123,2.05330266398,True,-0.02358078162381627,-0.16571999999999998,0.1421392183761837
F5,24c+32,"38,28",-0.392742591968193,0.081314,-0.4842807527367021,0.149549,-0.189018787658,0.456271857385,-0.645290645043,True,-0.09153816076850912,0.06823499999999999,-0.15977316076850911
7m,24c+32,"38,28",0.5606414319765495,-0.082866,0.5795698861407408,0.047937,0.0326594852784,2.72864384505,-2.69598435977,True,0.01892845416419131,0.130803,-0.11187454583580869
25,24c+32,"38,28",0.6844213957515154,-0.168438,0.7988301117165457,0.142877,0.143220334696,2.1789021326,-2.03568179791,True,0.11440871596503033,0.311315,-0.19690628403496968
LIP,24c+32,"38,28",1.3584457847668463,0.063567,1.3908454707115372,0.037658,0.0232949573673,-0.688007860216,0.711302817583,True,0.03239968594469089,-0.025909,0.058308685944690894
32,24c+32,"38,28",1.0087998022401772,0.812202,1.0030936337386354,0.704386,-0.005688570149,-0.153063803085,0.147375232936,False,-0.0057061685015418195,-0.10781600000000002,0.1021098314984582
STPi,24c+32,"38,28",1.239951818071539,0.028622,1.2121592338140506,0.059489,-0.0229281628042,0.518869034611,-0.541797197416,True,-0.02779258425748843,0.030867,-0.05865958425748843
9,24c+32,"38,28",2.0,0.358544,1.869506046538543,0.145686,-0.0698013005644,-1.46107381629,1.39127251573,True,-0.1304939534614571,-0.21285799999999996,0.08236404653854287
45A,24c+32,"38,28",0.9469089827124832,0.22115,0.7961822660845467,-0.163953,-0.189311823496,-2.34886217392,2.15955035042,True,-0.15072671662793657,-0.385103,0.2343762833720634
8B,24c+32,"38,28",2.0,0.223581,1.954574139272681,0.060359,-0.0232407969668,-2.70418661674,2.68094581978,True,-0.04542586072731902,-0.163222,0.11779613927268098
7B,24c+32,"38,28",0.7265207524389747,0.111312,0.6679483662914127,-0.018539,-0.0876899908787,-7.00420734667,6.9165173558,True,-0.058572386147561994,-0.129851,0.071278613852438
F2,24c+32,"38,28",-0.3530901345695642,-0.024718,-0.27086456573073586,-0.00053,0.303567093086,45.6377358491,-45.334168756,True,0.08222556883882831,0.024188,0.05803756883882831
