area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
TEpd,24c+32,"38,28",-0.0167626863148843,0.016372,-0.31777784014114757,0.111161,-0.947250298172,0.85271812956,-1.79996842773,True,-0.30101515382626326,0.094789,-0.39580415382626327
46d,24c+32,"38,28",1.1099412435174054,0.337073,-0.6830481013712173,0.036685,-2.62498254704,-8.18830584708,5.56332330004,True,-1.7929893448886227,-0.300388,-1.4926013448886226
9/46v,24c+32,"38,28",0.3820309618759206,0.2712,-0.3824932696206757,0.097202,-1.99879133103,-1.79006604802,-0.20872528301,True,-0.7645242314965963,-0.17399799999999999,-0.5905262314965963
PBr,24c+32,"38,28",-0.3230656793178671,0.032065,1.5232434479305423,0.00353,1.21209064103,-8.0835694051,9.29566004613,True,1.8463091272484093,-0.028535000000000005,1.8748441272484093
9/46d,24c+32,"38,28",0.6649854326765055,0.245636,-0.472915396931289,0.079916,-2.40614037308,-2.07367736123,-0.332463011851,True,-1.1379008296077944,-0.16571999999999998,-0.9721808296077944
F5,24c+32,"38,28",0.355620644606761,0.081314,-0.5937614882763352,0.149549,-1.59892844455,0.456271857385,-2.05520030193,True,-0.9493821328830963,0.06823499999999999,-1.0176171328830963
7m,24c+32,"38,28",-0.3152640164996143,-0.082866,-0.5310517186521062,0.047937,-0.406340276424,2.72864384505,-3.13498412147,True,-0.21578770215249193,0.130803,-0.34659070215249194
25,24c+32,"38,28",0.2975774138169937,-0.168438,0.9551514548711024,0.142877,0.688450022979,2.1789021326,-1.49045210962,True,0.6575740410541087,0.311315,0.34625904105410865
LIP,24c+32,"38,28",0.184667210187723,0.063567,-0.4454018375077411,0.037658,-1.41460810135,-0.688007860216,-0.726600241136,True,-0.6300690476954641,-0.025909,-0.6041600476954642
32,24c+32,"38,28",2.0,0.812202,1.0546444050580541,0.704386,-0.896373782868,-0.153063803085,-0.743309979782,False,-0.9453555949419459,-0.10781600000000002,-0.8375395949419459
STPi,24c+32,"38,28",-0.2200094747034742,0.028622,0.2965391763273151,0.059489,1.74192380726,0.518869034611,1.22305477265,True,0.5165486510307893,0.030867,0.4856816510307893
9,24c+32,"38,28",1.1209643384219838,0.358544,-0.6728807684553173,0.145686,-2.66591822946,-1.46107381629,-1.20484441317,True,-1.7938451068773011,-0.21285799999999996,-1.5809871068773012
45A,24c+32,"38,28",0.4974306596925541,0.22115,-0.3266376783550985,-0.163953,-2.52288205757,-2.34886217392,-0.174019883652,True,-0.8240683380476526,-0.385103,-0.4389653380476526
8B,24c+32,"38,28",1.027226422028494,0.223581,-0.06667130758740038,0.060359,-16.4073237679,-2.70418661674,-13.7031371512,True,-1.0938977296158943,-0.163222,-0.9306757296158943
